X,Y,Width,Height,ContentPath
2740,4517,826,79,ExtractedBoxes\box_184.png
2229,4517,507,79,ExtractedBoxes\box_185.png
1542,4517,683,79,ExtractedBoxes\box_186.png
1027,4517,511,79,ExtractedBoxes\box_187.png
2229,4228,1337,287,ExtractedBoxes\box_619.png
1027,4228,1198,287,ExtractedBoxes\box_620.png
64,4228,961,368,ExtractedBoxes\box_621.png
2727,4079,418,145,ExtractedBoxes\box_880.png
1027,4079,648,145,ExtractedBoxes\box_881.png
64,4079,961,145,ExtractedBoxes\box_882.png
3149,4078,417,146,ExtractedBoxes\box_883.png
2229,4078,494,146,ExtractedBoxes\box_884.png
1678,4078,547,146,ExtractedBoxes\box_885.png
3022,3930,544,145,ExtractedBoxes\box_931.png
2892,3930,126,145,ExtractedBoxes\box_932.png
2800,3930,89,145,ExtractedBoxes\box_933.png
2622,3930,175,145,ExtractedBoxes\box_934.png
2002,3930,616,145,ExtractedBoxes\box_935.png
1121,3930,877,145,ExtractedBoxes\box_936.png
988,3930,129,145,ExtractedBoxes\box_937.png
846,3930,138,145,ExtractedBoxes\box_938.png
448,3930,394,145,ExtractedBoxes\box_939.png
64,3930,381,145,ExtractedBoxes\box_940.png
3022,3787,544,140,ExtractedBoxes\box_986.png
2892,3787,126,140,ExtractedBoxes\box_987.png
2800,3785,89,142,ExtractedBoxes\box_988.png
2622,3785,175,142,ExtractedBoxes\box_989.png
2002,3785,616,142,ExtractedBoxes\box_990.png
1121,3785,877,142,ExtractedBoxes\box_991.png
988,3785,129,142,ExtractedBoxes\box_992.png
846,3785,138,142,ExtractedBoxes\box_993.png
448,3785,394,142,ExtractedBoxes\box_994.png
64,3785,381,142,ExtractedBoxes\box_995.png
3022,3634,544,149,ExtractedBoxes\box_1043.png
2892,3634,126,149,ExtractedBoxes\box_1044.png
2800,3634,89,149,ExtractedBoxes\box_1045.png
2622,3634,175,149,ExtractedBoxes\box_1046.png
2002,3634,616,149,ExtractedBoxes\box_1047.png
1121,3634,877,149,ExtractedBoxes\box_1048.png
988,3634,129,149,ExtractedBoxes\box_1049.png
846,3634,138,149,ExtractedBoxes\box_1050.png
448,3634,394,149,ExtractedBoxes\box_1051.png
64,3634,381,149,ExtractedBoxes\box_1052.png
3022,3489,544,141,ExtractedBoxes\box_1098.png
2892,3489,126,142,ExtractedBoxes\box_1099.png
2800,3489,89,142,ExtractedBoxes\box_1100.png
2622,3489,175,142,ExtractedBoxes\box_1101.png
2002,3489,616,142,ExtractedBoxes\box_1102.png
1121,3489,877,142,ExtractedBoxes\box_1103.png
988,3489,129,142,ExtractedBoxes\box_1104.png
846,3489,138,142,ExtractedBoxes\box_1105.png
448,3489,394,142,ExtractedBoxes\box_1106.png
64,3489,381,142,ExtractedBoxes\box_1107.png
3022,3338,544,147,ExtractedBoxes\box_1231.png
2892,3338,126,147,ExtractedBoxes\box_1232.png
2800,3338,89,149,ExtractedBoxes\box_1233.png
2622,3338,175,149,ExtractedBoxes\box_1234.png
2002,3338,616,149,ExtractedBoxes\box_1235.png
1121,3338,877,149,ExtractedBoxes\box_1236.png
988,3338,129,149,ExtractedBoxes\box_1237.png
846,3338,138,149,ExtractedBoxes\box_1238.png
448,3338,394,149,ExtractedBoxes\box_1239.png
64,3338,381,149,ExtractedBoxes\box_1240.png
3022,3190,544,144,ExtractedBoxes\box_1373.png
2892,3190,126,144,ExtractedBoxes\box_1374.png
2800,3190,89,144,ExtractedBoxes\box_1375.png
2622,3190,175,144,ExtractedBoxes\box_1376.png
2002,3190,616,144,ExtractedBoxes\box_1377.png
1121,3190,877,144,ExtractedBoxes\box_1378.png
988,3190,129,144,ExtractedBoxes\box_1379.png
846,3190,138,144,ExtractedBoxes\box_1380.png
448,3190,394,144,ExtractedBoxes\box_1381.png
64,3190,381,144,ExtractedBoxes\box_1382.png
3022,3052,544,134,ExtractedBoxes\box_1686.png
2892,3052,126,134,ExtractedBoxes\box_1687.png
2800,3052,89,134,ExtractedBoxes\box_1688.png
2622,3052,175,134,ExtractedBoxes\box_1689.png
2002,3051,616,135,ExtractedBoxes\box_1690.png
1121,3051,877,135,ExtractedBoxes\box_1691.png
988,3051,129,135,ExtractedBoxes\box_1692.png
846,3051,138,135,ExtractedBoxes\box_1693.png
64,3051,778,135,ExtractedBoxes\box_1694.png
2230,2898,1336,150,ExtractedBoxes\box_1757.png
2230,2752,1336,143,ExtractedBoxes\box_1947.png
64,2752,2161,296,ExtractedBoxes\box_1948.png
2230,2601,1336,148,ExtractedBoxes\box_2064.png
